"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","497","Test Authentication with Missing Password","","Sun Feb 02 16:08:02 GMT 2025","passed","Sun Feb 02 16:08:03 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","552","Test Creating a Video Game using token authentication","","Sun Feb 02 16:07:55 GMT 2025","passed","Sun Feb 02 16:07:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","487","Test Update VideoGame using token authentication","","Sun Feb 02 16:07:58 GMT 2025","passed","Sun Feb 02 16:07:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","479","Test Deleting a Video Game without using token authentication","","Sun Feb 02 16:07:59 GMT 2025","passed","Sun Feb 02 16:08:00 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","493","Test Deleting a Video Game using token authentication","","Sun Feb 02 16:08:00 GMT 2025","passed","Sun Feb 02 16:08:00 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","510","Test Authentication with Invalid Credentials","","Sun Feb 02 16:08:01 GMT 2025","failed","Sun Feb 02 16:08:02 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","499","Test Delete Non-Existent VideoGame","","Sun Feb 02 16:08:00 GMT 2025","passed","Sun Feb 02 16:08:01 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","483","Test Retrieving a Video Game using token authentication","","Sun Feb 02 16:07:57 GMT 2025","passed","Sun Feb 02 16:07:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","512","Test Retrieving a Video Game using token authentication","","Sun Feb 02 16:07:56 GMT 2025","passed","Sun Feb 02 16:07:56 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","517","Test Creating a Video Game without using token authentication","","Sun Feb 02 16:07:54 GMT 2025","passed","Sun Feb 02 16:07:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","501","Test Delete Non-Existent VideoGame","","Sun Feb 02 16:07:59 GMT 2025","passed","Sun Feb 02 16:07:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","474","Test Update VideoGame without using token authentication","","Sun Feb 02 16:07:58 GMT 2025","passed","Sun Feb 02 16:07:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","495","Test Get Non-Existent VideoGame","","Sun Feb 02 16:07:57 GMT 2025","passed","Sun Feb 02 16:07:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","503","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 16:07:56 GMT 2025","passed","Sun Feb 02 16:07:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","511","Test Authentication with Missing Username","","Sun Feb 02 16:08:02 GMT 2025","failed","Sun Feb 02 16:08:02 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","534","Test Authentication with Valid Credentials","","Sun Feb 02 16:08:01 GMT 2025","passed","Sun Feb 02 16:08:01 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","543","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 16:07:55 GMT 2025","passed","Sun Feb 02 16:07:56 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
