"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","572","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 14:54:43 GMT 2025","passed","Sun Feb 02 14:54:44 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","432","Test Deleting a Video Game without using token authentication","","Sun Feb 02 14:54:47 GMT 2025","passed","Sun Feb 02 14:54:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","434","Test Authentication with Missing Username","","Sun Feb 02 14:54:49 GMT 2025","failed","Sun Feb 02 14:54:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","426","Test Deleting a Video Game using token authentication","","Sun Feb 02 14:54:47 GMT 2025","passed","Sun Feb 02 14:54:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","470","Test Creating a Video Game without using token authentication","","Sun Feb 02 14:54:42 GMT 2025","passed","Sun Feb 02 14:54:43 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","442","Test Retrieving a Video Game using token authentication","","Sun Feb 02 14:54:44 GMT 2025","passed","Sun Feb 02 14:54:44 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","430","Test Authentication with Valid Credentials","","Sun Feb 02 14:54:48 GMT 2025","passed","Sun Feb 02 14:54:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","440","Test Retrieving a Video Game using token authentication","","Sun Feb 02 14:54:45 GMT 2025","passed","Sun Feb 02 14:54:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","423","Test Update VideoGame without using token authentication","","Sun Feb 02 14:54:46 GMT 2025","passed","Sun Feb 02 14:54:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","444","Test Delete Non-Existent VideoGame","","Sun Feb 02 14:54:46 GMT 2025","passed","Sun Feb 02 14:54:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","430","Test Delete Non-Existent VideoGame","","Sun Feb 02 14:54:48 GMT 2025","passed","Sun Feb 02 14:54:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","441","Test Get Non-Existent VideoGame","","Sun Feb 02 14:54:45 GMT 2025","passed","Sun Feb 02 14:54:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","443","Test Authentication with Invalid Credentials","","Sun Feb 02 14:54:49 GMT 2025","failed","Sun Feb 02 14:54:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","457","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 14:54:44 GMT 2025","passed","Sun Feb 02 14:54:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","446","Test Update VideoGame using token authentication","","Sun Feb 02 14:54:46 GMT 2025","passed","Sun Feb 02 14:54:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","457","Test Creating a Video Game using token authentication","","Sun Feb 02 14:54:43 GMT 2025","passed","Sun Feb 02 14:54:43 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","424","Test Authentication with Missing Password","","Sun Feb 02 14:54:49 GMT 2025","passed","Sun Feb 02 14:54:50 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
