"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","358","Test Creating a Video Game without using token authentication","","Fri Jan 31 14:52:54 GMT 2025","passed","Fri Jan 31 14:52:54 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testCreateVideoGameWithoutToken"
"","325","Test Deleting a Video Game without using token authentication","","Fri Jan 31 14:52:56 GMT 2025","passed","Fri Jan 31 14:52:56 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testDeleteVideoGameWithoutToken"
"","340","Test Creating a Video Game using token authentication","","Fri Jan 31 14:52:55 GMT 2025","passed","Fri Jan 31 14:52:55 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testCreateVideoGameWithToken"
"","336","Test Deleting a Video Game using token authentication","","Fri Jan 31 14:52:56 GMT 2025","passed","Fri Jan 31 14:52:56 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testDeleteVideoGameWithToken"
"","349","Test Retrieving a Video Game without using token authentication","","Fri Jan 31 14:52:55 GMT 2025","passed","Fri Jan 31 14:52:55 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testGetVideoGameWithoutToken"
"","358","Test Retrieving a Video Game using token authentication","","Fri Jan 31 14:52:55 GMT 2025","passed","Fri Jan 31 14:52:56 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testGetVideoGameWithToken"
