"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","468","Test Update VideoGame without using token authentication","","Sun Feb 02 13:00:33 GMT 2025","passed","Sun Feb 02 13:00:33 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","501","Test Authentication with Missing Username","","Sun Feb 02 13:00:36 GMT 2025","failed","Sun Feb 02 13:00:37 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","486","Test Deleting a Video Game without using token authentication","","Sun Feb 02 13:00:34 GMT 2025","passed","Sun Feb 02 13:00:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","498","Test Update Non-Existent VideoGame","","Sun Feb 02 13:00:32 GMT 2025","passed","Sun Feb 02 13:00:32 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","484","Test Retrieving a Video Game using token authentication","","Sun Feb 02 13:00:31 GMT 2025","passed","Sun Feb 02 13:00:32 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","525","Test Creating a Video Game using token authentication","","Sun Feb 02 13:00:29 GMT 2025","passed","Sun Feb 02 13:00:30 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","494","Test Authentication with Valid Credentials","","Sun Feb 02 13:00:35 GMT 2025","passed","Sun Feb 02 13:00:36 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","508","Test Update Non-Existent VideoGame","","Sun Feb 02 13:00:33 GMT 2025","passed","Sun Feb 02 13:00:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","524","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 13:00:30 GMT 2025","passed","Sun Feb 02 13:00:30 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","507","Test Update VideoGame using token authentication","","Sun Feb 02 13:00:32 GMT 2025","passed","Sun Feb 02 13:00:33 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","488","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 13:00:31 GMT 2025","passed","Sun Feb 02 13:00:31 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","495","Test Authentication with Missing Password","","Sun Feb 02 13:00:37 GMT 2025","passed","Sun Feb 02 13:00:37 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","498","Test Deleting a Video Game using token authentication","","Sun Feb 02 13:00:34 GMT 2025","passed","Sun Feb 02 13:00:35 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","497","Test Authentication with Invalid Credentials","","Sun Feb 02 13:00:36 GMT 2025","failed","Sun Feb 02 13:00:36 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","506","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 13:00:30 GMT 2025","passed","Sun Feb 02 13:00:31 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","490","Test Update Non-Existent VideoGame","","Sun Feb 02 13:00:35 GMT 2025","passed","Sun Feb 02 13:00:35 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","519","Test Creating a Video Game without using token authentication","","Sun Feb 02 13:00:29 GMT 2025","passed","Sun Feb 02 13:00:29 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
