"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","345","Test Deleting a Video Game using token authentication","","Sun Feb 02 12:34:48 GMT 2025","passed","Sun Feb 02 12:34:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","377","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 12:34:45 GMT 2025","passed","Sun Feb 02 12:34:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","362","Test Update Non-Existent VideoGame","","Sun Feb 02 12:34:46 GMT 2025","passed","Sun Feb 02 12:34:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","362","Test Creating a Video Game without using token authentication","","Sun Feb 02 12:34:44 GMT 2025","passed","Sun Feb 02 12:34:44 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","349","Test Update Non-Existent VideoGame","","Sun Feb 02 12:34:48 GMT 2025","passed","Sun Feb 02 12:34:49 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","346","Test Authentication with Missing Password","","Sun Feb 02 12:34:50 GMT 2025","passed","Sun Feb 02 12:34:50 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","398","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 12:34:45 GMT 2025","passed","Sun Feb 02 12:34:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","327","Test Update VideoGame without using token authentication","","Sun Feb 02 12:34:47 GMT 2025","passed","Sun Feb 02 12:34:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","334","Test Deleting a Video Game without using token authentication","","Sun Feb 02 12:34:47 GMT 2025","passed","Sun Feb 02 12:34:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","402","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 12:34:45 GMT 2025","passed","Sun Feb 02 12:34:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","346","Test Authentication with Invalid Credentials","","Sun Feb 02 12:34:49 GMT 2025","failed","Sun Feb 02 12:34:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","337","Test Authentication with Missing Username","","Sun Feb 02 12:34:49 GMT 2025","failed","Sun Feb 02 12:34:50 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","366","Test Authentication with Valid Credentials","","Sun Feb 02 12:34:49 GMT 2025","passed","Sun Feb 02 12:34:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","384","Test Creating a Video Game using token authentication","","Sun Feb 02 12:34:44 GMT 2025","passed","Sun Feb 02 12:34:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","363","Test Retrieving a Video Game using token authentication","","Sun Feb 02 12:34:46 GMT 2025","passed","Sun Feb 02 12:34:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","347","Test Update VideoGame using token authentication","","Sun Feb 02 12:34:46 GMT 2025","passed","Sun Feb 02 12:34:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","358","Test Update Non-Existent VideoGame","","Sun Feb 02 12:34:47 GMT 2025","passed","Sun Feb 02 12:34:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
