"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","381","Test Get Non-Existent VideoGame","","Sun Feb 02 16:00:45 GMT 2025","passed","Sun Feb 02 16:00:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","653","Test Creating a Video Game using token authentication","","Sun Feb 02 16:00:43 GMT 2025","passed","Sun Feb 02 16:00:44 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","358","Test Authentication with Missing Username","","Sun Feb 02 16:00:49 GMT 2025","failed","Sun Feb 02 16:00:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","390","Test Update VideoGame using token authentication","","Sun Feb 02 16:00:46 GMT 2025","passed","Sun Feb 02 16:00:46 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","351","Test Update VideoGame without using token authentication","","Sun Feb 02 16:00:46 GMT 2025","passed","Sun Feb 02 16:00:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","384","Test Retrieving a Video Game using token authentication","","Sun Feb 02 16:00:45 GMT 2025","passed","Sun Feb 02 16:00:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","430","Test Retrieving a Video Game using token authentication","","Sun Feb 02 16:00:44 GMT 2025","passed","Sun Feb 02 16:00:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","363","Test Delete Non-Existent VideoGame","","Sun Feb 02 16:00:47 GMT 2025","passed","Sun Feb 02 16:00:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","368","Test Authentication with Valid Credentials","","Sun Feb 02 16:00:48 GMT 2025","passed","Sun Feb 02 16:00:48 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","375","Test Delete Non-Existent VideoGame","","Sun Feb 02 16:00:48 GMT 2025","passed","Sun Feb 02 16:00:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","1046","Test Creating a Video Game without using token authentication","","Sun Feb 02 16:00:42 GMT 2025","passed","Sun Feb 02 16:00:43 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","367","Test Deleting a Video Game using token authentication","","Sun Feb 02 16:00:47 GMT 2025","passed","Sun Feb 02 16:00:48 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","442","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 16:00:45 GMT 2025","passed","Sun Feb 02 16:00:45 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","512","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 16:00:44 GMT 2025","passed","Sun Feb 02 16:00:44 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","353","Test Deleting a Video Game without using token authentication","","Sun Feb 02 16:00:47 GMT 2025","passed","Sun Feb 02 16:00:47 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","389","Test Authentication with Invalid Credentials","","Sun Feb 02 16:00:48 GMT 2025","failed","Sun Feb 02 16:00:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","373","Test Authentication with Missing Password","","Sun Feb 02 16:00:49 GMT 2025","passed","Sun Feb 02 16:00:49 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
