"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","311","Test Retrieving a Video Game using token authentication","","Fri Jan 31 14:27:49 GMT 2025","passed","Fri Jan 31 14:27:49 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testGetVideoGameWithToken"
"","263","Test Deleting a Video Game without using token authentication","","Fri Jan 31 14:27:49 GMT 2025","passed","Fri Jan 31 14:27:49 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testDeleteVideoGameWithoutToken"
"","298","Test Creating a Video Game using token authentication","","Fri Jan 31 14:27:48 GMT 2025","passed","Fri Jan 31 14:27:48 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testCreateVideoGameWithToken"
"","316","Test Retrieving a Video Game without using token authentication","","Fri Jan 31 14:27:48 GMT 2025","passed","Fri Jan 31 14:27:49 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testGetVideoGameWithoutToken"
"","311","Test Creating a Video Game without using token authentication","","Fri Jan 31 14:27:48 GMT 2025","passed","Fri Jan 31 14:27:48 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testCreateVideoGameWithoutToken"
"","277","Test Deleting a Video Game using token authentication","","Fri Jan 31 14:27:49 GMT 2025","passed","Fri Jan 31 14:27:49 GMT 2025","","VideoGameApiTest","VideoGameApiTest","testDeleteVideoGameWithToken"
