"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","472","Test Authentication with Valid Credentials","","Sat Feb 08 12:06:57 GMT 2025","passed","Sat Feb 08 12:06:58 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","457","Test Update VideoGame using token authentication","","Sat Feb 08 12:06:54 GMT 2025","passed","Sat Feb 08 12:06:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","469","Test Deleting a Video Game using token authentication","","Sat Feb 08 12:06:56 GMT 2025","passed","Sat Feb 08 12:06:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","452","Test Authentication with Missing Password","","Sat Feb 08 12:06:58 GMT 2025","passed","Sat Feb 08 12:06:59 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","496","Test Retrieving a Video Game without using token authentication","","Sat Feb 08 12:06:53 GMT 2025","passed","Sat Feb 08 12:06:53 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","453","Test Authentication with Invalid Credentials","","Sat Feb 08 12:06:58 GMT 2025","passed","Sat Feb 08 12:06:58 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","466","Test Delete Non-Existent VideoGame","","Sat Feb 08 12:06:55 GMT 2025","passed","Sat Feb 08 12:06:56 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","576","Test Retrieving a Video Game without using token authentication","","Sat Feb 08 12:06:52 GMT 2025","passed","Sat Feb 08 12:06:52 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","464","Test Authentication with Missing Username","","Sat Feb 08 12:06:58 GMT 2025","passed","Sat Feb 08 12:06:58 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","458","Test Delete Non-Existent VideoGame","","Sat Feb 08 12:06:57 GMT 2025","passed","Sat Feb 08 12:06:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","487","Test Creating a Video Game using token authentication","","Sat Feb 08 12:06:51 GMT 2025","passed","Sat Feb 08 12:06:52 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","487","Test Creating a Video Game without using token authentication","","Sat Feb 08 12:06:51 GMT 2025","passed","Sat Feb 08 12:06:51 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","437","Test Deleting a Video Game without using token authentication","","Sat Feb 08 12:06:56 GMT 2025","passed","Sat Feb 08 12:06:56 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","501","Test Retrieving a Video Game using token authentication","","Sat Feb 08 12:06:52 GMT 2025","passed","Sat Feb 08 12:06:53 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","467","Test Retrieving a Video Game using token authentication","","Sat Feb 08 12:06:53 GMT 2025","passed","Sat Feb 08 12:06:54 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","441","Test Update VideoGame without using token authentication","","Sat Feb 08 12:06:55 GMT 2025","passed","Sat Feb 08 12:06:55 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","469","Test Get Non-Existent VideoGame","","Sat Feb 08 12:06:54 GMT 2025","passed","Sat Feb 08 12:06:54 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
