"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","299","Test Authentication with Valid Credentials","","Sun Feb 02 22:26:35 GMT 2025","passed","Sun Feb 02 22:26:35 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","278","Test Authentication with Missing Username","","Sun Feb 02 22:26:35 GMT 2025","failed","Sun Feb 02 22:26:36 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","283","Test Deleting a Video Game using token authentication","","Sun Feb 02 22:26:34 GMT 2025","passed","Sun Feb 02 22:26:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","319","Test Retrieving a Video Game using token authentication","","Sun Feb 02 22:26:32 GMT 2025","passed","Sun Feb 02 22:26:32 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","278","Test Delete Non-Existent VideoGame","","Sun Feb 02 22:26:34 GMT 2025","passed","Sun Feb 02 22:26:35 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","339","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 22:26:32 GMT 2025","passed","Sun Feb 02 22:26:32 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","379","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 22:26:31 GMT 2025","passed","Sun Feb 02 22:26:32 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","310","Test Creating a Video Game without using token authentication","","Sun Feb 02 22:26:31 GMT 2025","passed","Sun Feb 02 22:26:31 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","287","Test Retrieving a Video Game using token authentication","","Sun Feb 02 22:26:32 GMT 2025","passed","Sun Feb 02 22:26:33 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","283","Test Update VideoGame using token authentication","","Sun Feb 02 22:26:33 GMT 2025","passed","Sun Feb 02 22:26:33 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","336","Test Creating a Video Game using token authentication","","Sun Feb 02 22:26:31 GMT 2025","passed","Sun Feb 02 22:26:31 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","273","Test Update VideoGame without using token authentication","","Sun Feb 02 22:26:33 GMT 2025","passed","Sun Feb 02 22:26:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","307","Test Authentication with Invalid Credentials","","Sun Feb 02 22:26:35 GMT 2025","failed","Sun Feb 02 22:26:35 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","301","Test Get Non-Existent VideoGame","","Sun Feb 02 22:26:33 GMT 2025","passed","Sun Feb 02 22:26:33 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","303","Test Authentication with Missing Password","","Sun Feb 02 22:26:36 GMT 2025","passed","Sun Feb 02 22:26:36 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","291","Test Delete Non-Existent VideoGame","","Sun Feb 02 22:26:34 GMT 2025","passed","Sun Feb 02 22:26:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","274","Test Deleting a Video Game without using token authentication","","Sun Feb 02 22:26:34 GMT 2025","passed","Sun Feb 02 22:26:34 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
