"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","331","Test Get Non-Existent VideoGame","","Sun Feb 02 22:37:58 GMT 2025","passed","Sun Feb 02 22:37:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","353","Test Authentication with Valid Credentials","","Sun Feb 02 22:38:00 GMT 2025","passed","Sun Feb 02 22:38:01 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","328","Test Update VideoGame without using token authentication","","Sun Feb 02 22:37:59 GMT 2025","passed","Sun Feb 02 22:37:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","347","Test Update VideoGame using token authentication","","Sun Feb 02 22:37:58 GMT 2025","passed","Sun Feb 02 22:37:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","359","Test Retrieving a Video Game using token authentication","","Sun Feb 02 22:37:57 GMT 2025","passed","Sun Feb 02 22:37:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","341","Test Retrieving a Video Game using token authentication","","Sun Feb 02 22:37:58 GMT 2025","passed","Sun Feb 02 22:37:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","350","Test Authentication with Missing Password","","Sun Feb 02 22:38:01 GMT 2025","passed","Sun Feb 02 22:38:02 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","360","Test Creating a Video Game without using token authentication","","Sun Feb 02 22:37:56 GMT 2025","passed","Sun Feb 02 22:37:56 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","336","Test Deleting a Video Game using token authentication","","Sun Feb 02 22:38:00 GMT 2025","passed","Sun Feb 02 22:38:00 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","343","Test Authentication with Missing Username","","Sun Feb 02 22:38:01 GMT 2025","failed","Sun Feb 02 22:38:01 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","353","Test Authentication with Invalid Credentials","","Sun Feb 02 22:38:01 GMT 2025","failed","Sun Feb 02 22:38:01 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","332","Test Delete Non-Existent VideoGame","","Sun Feb 02 22:37:59 GMT 2025","passed","Sun Feb 02 22:37:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","369","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 22:37:57 GMT 2025","passed","Sun Feb 02 22:37:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","393","Test Creating a Video Game using token authentication","","Sun Feb 02 22:37:56 GMT 2025","passed","Sun Feb 02 22:37:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","333","Test Deleting a Video Game without using token authentication","","Sun Feb 02 22:37:59 GMT 2025","passed","Sun Feb 02 22:38:00 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","330","Test Delete Non-Existent VideoGame","","Sun Feb 02 22:38:00 GMT 2025","passed","Sun Feb 02 22:38:00 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","339","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 22:37:57 GMT 2025","passed","Sun Feb 02 22:37:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
