"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","409","Test Creating a Video Game using token authentication","","Sun Feb 02 19:12:19 GMT 2025","passed","Sun Feb 02 19:12:19 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","338","Test Authentication with Missing Password","","Sun Feb 02 19:12:24 GMT 2025","passed","Sun Feb 02 19:12:25 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","328","Test Update VideoGame without using token authentication","","Sun Feb 02 19:12:22 GMT 2025","passed","Sun Feb 02 19:12:22 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","356","Test Retrieving a Video Game using token authentication","","Sun Feb 02 19:12:20 GMT 2025","passed","Sun Feb 02 19:12:20 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","341","Test Authentication with Valid Credentials","","Sun Feb 02 19:12:23 GMT 2025","passed","Sun Feb 02 19:12:24 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","354","Test Authentication with Invalid Credentials","","Sun Feb 02 19:12:24 GMT 2025","failed","Sun Feb 02 19:12:24 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","352","Test Get Non-Existent VideoGame","","Sun Feb 02 19:12:21 GMT 2025","passed","Sun Feb 02 19:12:21 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","428","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 19:12:19 GMT 2025","passed","Sun Feb 02 19:12:20 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","346","Test Delete Non-Existent VideoGame","","Sun Feb 02 19:12:23 GMT 2025","passed","Sun Feb 02 19:12:23 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","327","Test Authentication with Missing Username","","Sun Feb 02 19:12:24 GMT 2025","failed","Sun Feb 02 19:12:24 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","344","Test Update VideoGame using token authentication","","Sun Feb 02 19:12:21 GMT 2025","passed","Sun Feb 02 19:12:22 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","325","Test Deleting a Video Game without using token authentication","","Sun Feb 02 19:12:22 GMT 2025","passed","Sun Feb 02 19:12:23 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
"","347","Test Deleting a Video Game using token authentication","","Sun Feb 02 19:12:23 GMT 2025","passed","Sun Feb 02 19:12:23 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","356","Test Creating a Video Game without using token authentication","","Sun Feb 02 19:12:19 GMT 2025","passed","Sun Feb 02 19:12:19 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","343","Test Retrieving a Video Game using token authentication","","Sun Feb 02 19:12:21 GMT 2025","passed","Sun Feb 02 19:12:21 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","361","Test Delete Non-Existent VideoGame","","Sun Feb 02 19:12:22 GMT 2025","passed","Sun Feb 02 19:12:22 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","394","Test Retrieving a Video Game without using token authentication","","Sun Feb 02 19:12:20 GMT 2025","passed","Sun Feb 02 19:12:21 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
