"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","281","Test Get Non-Existent VideoGame","","Wed Feb 05 05:36:16 GMT 2025","passed","Wed Feb 05 05:36:16 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetNonExistentVideoGame"
"","287","Test Authentication with Missing Password","","Wed Feb 05 05:36:19 GMT 2025","passed","Wed Feb 05 05:36:19 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","281","Test Retrieving a Video Game without using token authentication","","Wed Feb 05 05:36:15 GMT 2025","passed","Wed Feb 05 05:36:15 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutAuth"
"","278","Test Authentication with Invalid Credentials","","Wed Feb 05 05:36:18 GMT 2025","failed","Wed Feb 05 05:36:18 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","311","Test Creating a Video Game without using token authentication","","Wed Feb 05 05:36:14 GMT 2025","passed","Wed Feb 05 05:36:14 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutAuth"
"","288","Test Deleting a Video Game using token authentication","","Wed Feb 05 05:36:17 GMT 2025","passed","Wed Feb 05 05:36:17 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithAuth"
"","291","Test Delete Non-Existent VideoGame","","Wed Feb 05 05:36:17 GMT 2025","passed","Wed Feb 05 05:36:17 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateNonExistentVideoGame"
"","321","Test Retrieving a Video Game without using token authentication","","Wed Feb 05 05:36:15 GMT 2025","passed","Wed Feb 05 05:36:15 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithoutAuth"
"","279","Test Retrieving a Video Game using token authentication","","Wed Feb 05 05:36:15 GMT 2025","passed","Wed Feb 05 05:36:16 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithAuth"
"","281","Test Delete Non-Existent VideoGame","","Wed Feb 05 05:36:17 GMT 2025","passed","Wed Feb 05 05:36:18 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteNonExistentVideoGame"
"","268","Test Update VideoGame without using token authentication","","Wed Feb 05 05:36:16 GMT 2025","passed","Wed Feb 05 05:36:17 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithoutAuth"
"","321","Test Authentication with Valid Credentials","","Wed Feb 05 05:36:18 GMT 2025","passed","Wed Feb 05 05:36:18 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","289","Test Authentication with Missing Username","","Wed Feb 05 05:36:18 GMT 2025","failed","Wed Feb 05 05:36:19 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","325","Test Creating a Video Game using token authentication","","Wed Feb 05 05:36:14 GMT 2025","passed","Wed Feb 05 05:36:15 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithAuth"
"","300","Test Retrieving a Video Game using token authentication","","Wed Feb 05 05:36:15 GMT 2025","passed","Wed Feb 05 05:36:15 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGamesWithAuth"
"","304","Test Update VideoGame using token authentication","","Wed Feb 05 05:36:16 GMT 2025","passed","Wed Feb 05 05:36:16 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testUpdateVideoGameWithValidAuth"
"","272","Test Deleting a Video Game without using token authentication","","Wed Feb 05 05:36:17 GMT 2025","passed","Wed Feb 05 05:36:17 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutAuth"
