"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","452","Test Retrieving a Video Game without using token authentication","","Fri Jan 31 17:27:57 GMT 2025","passed","Fri Jan 31 17:27:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithoutToken"
"","434","Test Creating a Video Game without using token authentication","","Fri Jan 31 17:27:56 GMT 2025","passed","Fri Jan 31 17:27:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithoutToken"
"","426","Test Deleting a Video Game without using token authentication","","Fri Jan 31 17:27:58 GMT 2025","passed","Fri Jan 31 17:27:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithoutToken"
"","438","Test Authentication with Valid Credentials","","Fri Jan 31 17:27:59 GMT 2025","passed","Fri Jan 31 17:27:59 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithValidCredentials"
"","444","Test Authentication with Missing Password","","Fri Jan 31 17:28:00 GMT 2025","passed","Fri Jan 31 17:28:01 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingPassword"
"","452","Test Creating a Video Game using token authentication","","Fri Jan 31 17:27:57 GMT 2025","passed","Fri Jan 31 17:27:57 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testCreateVideoGameWithToken"
"","443","Test Authentication with Invalid Credentials","","Fri Jan 31 17:27:59 GMT 2025","passed","Fri Jan 31 17:28:00 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithInvalidCredentials"
"","464","Test Retrieving a Video Game using token authentication","","Fri Jan 31 17:27:58 GMT 2025","passed","Fri Jan 31 17:27:58 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testGetVideoGameWithToken"
"","427","Test Authentication with Missing Username","","Fri Jan 31 17:28:00 GMT 2025","failed","Fri Jan 31 17:28:00 GMT 2025","","tests.AuthApiTest","tests.AuthApiTest","testAuthWithMissingUsername"
"","418","Test Deleting a Video Game using token authentication","","Fri Jan 31 17:27:59 GMT 2025","passed","Fri Jan 31 17:27:59 GMT 2025","","tests.VideoGameApiTest","tests.VideoGameApiTest","testDeleteVideoGameWithToken"
